,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.038971996307373045,0.007681606388716382,0.008160877227783202,0.0038421122151195007,1,10,5,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 5}",0.18715096325633007,0.2582399188321136,0.0819278280115383,0.13999335361120524,0.19520027356153635,0.17250246745454473,0.05889191318535393,11331
1,0.03543763160705567,0.004924211493477478,0.00812978744506836,0.002956472062705277,1,10,6,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 6}",0.1807623405517198,0.25596539531408613,0.08913399826954338,0.12213747389204666,0.31721240068973255,0.1930423217434257,0.08408657058907759,11259
2,0.035060691833496097,0.006206363759065049,0.006411695480346679,0.0006413106412264107,1,10,7,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 7}",0.14061118491451552,0.2051427101094837,0.07599548495411734,0.11059561042489563,0.28091759847720943,0.16265251777604434,0.07279729260427902,11383
3,0.046650266647338866,0.01860583009567816,0.009856986999511718,0.008123417876900236,1,10,8,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 8}",0.12181445155535242,0.1547904067593131,0.06145457887754768,0.1266125224207335,0.2866732162275972,0.1502690351681088,0.0746777677514607,11414
4,0.04127168655395508,0.003460246152414242,0.007865428924560547,0.0032200878855851624,1,10,9,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 9}",0.11516920307908707,0.14368420038994079,0.025589922570513846,0.11664090815017103,0.30104469164999637,0.14042578516794182,0.08966598133217173,11431
5,0.05146031379699707,0.012666715311900443,0.00700993537902832,0.0017101655583742989,1,10,10,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 10}",0.11691843810560931,0.15818174145839525,-0.0021354903047143825,0.09704782001239887,0.28166770038128486,0.13033604193059478,0.09221008458436501,11440
6,0.04500288963317871,0.004786220051377857,0.0073773860931396484,0.0011803160781726134,1,10,11,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 11}",0.12169845790916234,0.1729087367753006,-0.0011912839483063653,0.1013827157708651,0.2942501525471303,0.13780975581083038,0.09655395218842758,11433
7,0.06149101257324219,0.019391617067285784,0.008722972869873048,0.003423763062529954,1,10,12,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 12}",0.1340419145551902,0.17512022286928997,0.02569631436461084,0.11631531803776829,0.329215103350436,0.15607777463545908,0.09940332660008448,11407
8,0.05806169509887695,0.015460111833077576,0.006776857376098633,0.0008192073258025257,1,10,13,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 13}",0.12482142391751072,0.18479747641086974,0.01287916773009079,0.11235958007139046,0.34760569383044404,0.15649266839206116,0.11036393018814274,11406
9,0.05372300148010254,0.007644289685557424,0.008181953430175781,0.0013278569250917214,1,10,14,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 14}",0.11043108178146543,0.20204985613660786,0.041999323721278015,0.13270373263739277,0.32957028174382963,0.16335085520411474,0.0975627522841775,11378
10,0.07646102905273437,0.022728145131028398,0.008040380477905274,0.0008164785679519332,1,10,15,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 15}",0.10338777652329756,0.2074475944956955,0.03864217430158323,0.13909335840921466,0.31590539379603055,0.1608952595051643,0.09478767003998394,11394
11,0.0771090030670166,0.018505304587778444,0.016646766662597658,0.01092886211354919,1,10,16,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 16}",0.09667913504064396,0.2098461884428855,0.04290686220274109,0.1272268123336453,0.27899529530765743,0.15113085866551465,0.08372052455139997,11413
12,0.0626253604888916,0.004769723796802493,0.007953310012817382,0.0008272480953357212,1,10,17,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 17}",0.09862832410916988,0.19988014996341152,0.04231406550270411,0.11396430117778977,0.2582705002104797,0.142611468192711,0.07677429221667464,11429
13,0.06963105201721191,0.004051218885922085,0.007566976547241211,0.00084677001674757,1,10,18,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 18}",0.09221865325500311,0.20880066698001443,0.04288876704818878,0.11186936820605564,0.2582569049922866,0.1428068720963097,0.07897318001415085,11428
14,0.0695335865020752,0.004400867268749287,0.00984797477722168,0.002844165442098379,1,10,19,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 19}",0.09658283659801414,0.19789456580416553,0.03832650245595981,0.1078162698357299,0.2632871731222618,0.14078146956322624,0.07975813062094597,11430
15,0.084891939163208,0.01588322165662381,0.01030268669128418,0.0021108690828589923,1,10,20,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 20}",0.08847770093168716,0.20475510183485646,0.023250909811487586,0.11487946679529293,0.2532113537781795,0.13691490663030073,0.08231449857959508,11434
16,0.07641501426696777,0.00506488340250723,0.00834808349609375,0.0005754910424763358,1,10,21,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 21}",0.08947097647808577,0.19266640829767545,0.01696713922782478,0.11237507907160393,0.24988875983449566,0.13227367258193712,0.0812455693908894,11439
